Latitude,Longitude,Depth,Magnitude,No,Cluster
0.416,0.74,0.012,0.35,513,0
0.628,0.745,0.012,0.353,514,0
0.183,0.25,0.036,0.526,515,1
0.932,0.679,0.16,0.597,516,1
0.192,0.654,0.015,0.447,517,1
0.634,0.606,0.107,0.243,518,0
0.629,0.607,0.063,0.426,519,1
0.212,0.337,0.012,0.251,520,0
0.665,0.55,0.031,0.564,521,1
0.132,0.496,0.012,0.432,522,1
0.188,0.263,0.041,0.229,523,0
0.388,0.173,0.107,0.243,524,0
0.289,0.192,0.013,0.222,525,0
0.67,0.595,0.128,0.369,526,0
0.489,0.152,0.194,0.363,527,3
0.078,0.413,0.016,0.311,528,0
0.297,0.188,0.013,0.339,529,0
0.386,0.145,0.015,0.443,530,1
0.746,0.607,0.04,0.654,531,1
0.201,0.347,0.316,0.384,532,3
0.591,0.61,0.033,0.289,533,0
0.185,0.31,0.107,0.298,534,0
0.144,0.461,0.134,0.347,535,0
0.014,0.346,0.012,0.483,536,1
0.25,0.704,0.546,0.5,537,2
0.669,0.056,0.037,0.442,538,1
0.16,0.456,0.017,0.307,539,0
0.285,0.35,0.02,0.356,540,0
0.381,0.834,0.012,0.452,541,1
0.098,0.416,0.012,0.327,542,0
0.191,0.343,0.021,0.297,543,0
0.184,0.262,0.027,0.27,544,0
0.145,0.309,0.012,0.4,545,0
0.537,0.727,0.037,0.536,546,1
0.299,0.811,0.155,0.517,547,3
0.624,0.817,0.028,0.348,548,0
0.545,0.113,0.012,0.375,549,0
0.369,0.748,0.019,0.317,550,0
0.648,0.616,0.146,0.448,551,3
0.68,0.572,0.091,0.253,552,0
0.593,0.578,0.012,0.379,553,0
0.541,0.632,0.012,0.435,554,1
0.801,0.086,0.191,0.36,555,3
0.543,0.976,0.012,0.392,556,0
0.128,0.244,0.025,0.493,557,1
0.267,0.766,0.223,0.559,558,3
0.592,0.578,0.012,0.29,559,0
0.28,0.775,0.199,0.524,560,3
0.076,0.461,0.029,0.3,561,0
0.242,0.783,0.164,0.44,562,3
0.46,0.716,0.02,0.357,563,0
0.062,0.518,0.04,0.329,564,0
0.688,0.048,0.028,0.317,565,0
0.443,0.99,0.215,0.554,566,3
0.714,0.045,0.027,0.506,567,1
0.714,0.045,0.041,0.457,568,1
0.631,0.636,0.012,0.343,569,0
0.638,0.813,0.028,0.322,570,0
0.15,0.308,0.021,0.396,571,0
0.289,0.176,0.013,0.313,572,0
0.711,0.046,0.044,0.56,573,1
0.716,0.05,0.051,0.627,574,1
0.815,0.591,0.709,0.431,575,2
0.222,0.204,0.091,0.405,576,1
0.111,0.357,0.027,0.461,577,1
0.715,0.046,0.037,0.469,578,1
0.228,0.204,0.02,0.477,579,1
0.717,0.046,0.04,0.566,580,1
0.11,0.508,0.093,0.357,581,0
0.166,0.284,0.041,0.478,582,1
0.226,0.205,0.012,0.441,583,1
0.482,0.72,0.025,0.402,584,0
0.485,0.719,0.036,0.237,585,0
0.583,0.548,0.012,0.609,586,1
0.589,0.545,0.012,0.463,587,1
0.585,0.548,0.012,0.532,588,1
0.589,0.544,0.012,0.336,589,0
0.592,0.544,0.012,0.409,590,1
0.59,0.544,0.015,0.323,591,0
0.59,0.543,0.012,0.275,592,0
0.588,0.544,0.012,0.301,593,0
0.589,0.545,0.012,0.301,594,0
0.705,0.078,0.121,0.326,595,0
0.591,0.546,0.012,0.283,596,0
0.055,0.499,0.079,0.598,597,1
0.593,0.543,0.012,0.358,598,0
0.652,0.602,0.188,0.304,599,3
0.151,0.31,0.049,0.341,600,0
0.775,0.72,0.012,0.555,601,1
0.172,0.405,0.176,0.327,602,3
